CODE	NAME	COUNTRY_COUNTRY_ID
8130	FPD ENG'D Colombia	CO
8145	France Intl	FR
7854	Sterling Fluid Systems Holding GmbH (SIHI)	DE
8905	Japan, Niigata	JP
8225	Netherlands, Etten Leur	NL
1715	USA, Cleveland, OH	US
1370	USA, Innomag - Chicago, IL	US
1020	USA, Scranton - PMC, PA	US
0000	Default (not organization specific)	
0102	Flowserve Corporation Corporate	US
0104	Flowserve International Inc (Cor	US
0105	Flowserve International LLC	
0107	Flowserve Holdings Inc	US
0110	Flowserve Finance BV-Corp	NL
0115	Flowserve Management Co. Royalties	US
0119	IFC Purchase Books	US
0120	Flowserve US Inc-Corporate	US
0123	Flowcom Insurance Co-Corporate	US
0124	Fls Mexico Holdings LLC-Corp	US
0128	Corporate International Adjustme	
0130	Fls Holdings II LLC-Corp	US
0133	Flowserve Italy, LLC	IT
0134	Fls Latin Am Hldgs LLC-Corp	CA
0160	Flowserve Netherlands LLC	NL
0170	Flowserve Venezula LLC	CA
0180	Flowserve Singapore LLC	CA
0190	Flowserve Europe CV	NL
0200	Flowcom Insurance Company	
0220	Flowserve CV Holding LLC	NL
0230	Flowserve Dutch III C.V.	NL
0240	Flowserve Dutch IV C.V.	NL
0243	Flowserve Holding CV	NL
0245	Floswserve Netherlands VIII C.V.	NL
0249	Flowserve Netherlands IX C.V.	NL
0250	Flowserve CV5 Holding LLC	NL
0253	Flowserve Dutch Canada LLC	NL
0255	Flowserve Canada International LLC	CA
0260	Flowserve EMA V C.V.	NL
0270	Flowserve Holding VI C.V	NL
0280	Flowserve Dutch VII C.V.	NL
0282	Flowserve Canada Cooperatief W.A.	NL
0284	Flowserve Canada International LLC	CA
0286	Flowserve International Holdings Cooperatief W.A.	NL
0288	Flowserve Coop Holdings LLC	CA
0290	Flowserve Belgium Holdings LLC	NL
0310	Flowserve SPI LLC	NL
1000	Moosic-Vernon FPD	US
1005	Moosic-Chesapeake FPD	US
1010	Moosic-Taneytown FPD	
1035	ISG NA Learning Center	
1205	Vernon, CA NPO	US
1210	Albuquerque, NM FPD	US
1215	Santa Fe, NM FPD	US
1305	Statesville, NC FPD	US
1310	Phillipsburg, NJ Navy	US
1315	Phillipsburg, NJ Non Navy	US
1320	SIHI Pumps Inc.	
1326	Sterling Fluid Systems (Americas) Inc.	
1360	FLS Lawrence Pumps - Purchase Price Adjustments	US
1371	Innovative Mag-Drive Chicago Purchase Accounting	US
1500	Industrial Americas Admin (BU Admin)	
1505	Memphis, TN FPD	US
1510	Springboro, OH FPD	US
1630	Wilmington, NC Engineered	US
1640	Pump Integration	
1645	Pump Restructuring	
1650	Closed sites history only - Baan	US
1655	IDP Corporate	US
1660	Closed sites history only - Epic	US
1665	FPD US SRG	US
1730	Bridgeville, PA (End dated 13-MAR-2015)	
1731	Pump Investments	US
1732	Alternate Energy Mascoma	US
1735	Clarks Summit, PA(End dated 13-MAR-2015)	
1737	Pump Service Corporate Allocations	US
1738	Plainview, TX FPD	US
1740	Chico, CA FPD	US
1800	FSG Engineered World Headquarters	US
1805	FSG Engineered World Headquarters - North America	US
1810	FSG Engineered EMA Headquarters	US
1815	FSG Engineered World Headquarters - Latin America	US
1820	FSG Engineered APAC Headquarters	US
1825	FSG Industrial World Headquarters	US
1830	FSG Engineering R&D	US
1835	FSG Industrial R&D	US
1845	FSG Service & Solutions HQ	US
1850	FSG IPO HQ	US
1905	FPD Purchase Accounting	
1910	FPD Division Selling Exp	US
1915	FPD Division Marketing	US
1917	FPD Industrial Adjustments	US
1920	FPD RED Corp	US
1925	RED Restructure Domestic	
1926	RED Restructure International	
1930	FPD Domestic Restructure	
1934	IDP Purchase Domestic Intangibles	US
1935	IDP Domestic Purchase Acctg	US
1936	IDP Purchase International	
1938	FPD Purchase Adjustment Intangibles	US
1940	IDP_WW_IRADJ	US
1965	India - Bangalore FPD	
1973	RUFSG ISO Global HQ	US
3018	Lanxess Orange	
3060	Charlotte, SC Seal	
3068	Corpus Christi, TX	US
3105	Puerto Rico Seal	
3110	Richmond, VA Seal	
3200	Florence, SC	
3210	Mobil BMT Partner	
3212	1999 Restructuring A	
3215	Marathon Texas City	
3225	GE Silicones NY	
3228	Giant Refining	
3235	Marathon Robinson	
3240	Air Products	
3245	Mobile Torrance	
3255	Marathon Canton	
3260	Marathon St Paul	
3275	Dow Midland	
3280	Louisiana Pigment	
3290	Exxon Baytown	
3295	DSM Baton Rouge	
3300	DSM Addis	
3310	DSM Augusta	
3315	Exxon Mobil Joliet	
3325	DOW Texas City	
3330	Union Carbide 2	
3340	Hercules Brunswick 1	
3345	Hercules Brunswick 2	
3346	Texas Petrochemicals	
3355	Gas Seal	US
3365	Seal US General Operations	
3900	Learning Resource Center	US
3905	FSD Division HQ	US
8070	Canada - Brantford	CA
3911	FSG SEALS HQ	US
7947	Sterling Fluid Services Ltd	
